,solution_id,random_index,source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,teff_val,lum_val,class
8,1635721458409799680,8,5889059805439854848,234.27113967081408,-52.21865829520875,16.638042,17.331743,15.816595,1.5151482,0.6937008,0.8214474,4368.46,,K
12,1635721458409799680,12,2026240608225775360,293.5188418740288,28.53366277187837,16.985237,17.438818,16.37244,1.0663776,0.45358086,0.6127968,5070.042,,K
17,1635721458409799680,17,5889050803187502976,233.816074768591,-52.261230779637025,16.839481,17.559883,15.989998,1.5698853,0.72040176,0.8494835,4361.0,,K
21,1635721458409799680,21,1870129370301798784,310.9795127142624,34.48622284209915,16.415411,16.938528,15.721798,1.2167301,0.52311707,0.69361305,4919.0,0.7041398,K
24,1635721458409799680,24,5543541609247095168,127.20692274811198,-34.350519838622326,16.833437,17.22818,16.272953,0.9552269,0.39474297,0.56048393,5364.75,,G
29,1635721458409799680,29,2022160423644954880,290.23274537417564,22.548845089164654,15.774138,16.889832,14.717401,2.172431,1.1156931,1.0567379,3610.0,,M
31,1635721458409799680,31,4205570785908969984,284.9200120730237,-7.2804681222714125,13.914678,14.763895,13.013571,1.7503242,0.8492174,0.90110683,3987.0,28.196486,K
44,1635721458409799680,44,5435526445919095424,149.46182265001912,-33.98708366349858,15.605809,15.907345,15.137931,0.76941395,0.3015356,0.46787834,6000.0,1.4639734,F
55,1635721458409799680,55,2944247433426596096,93.99102916841018,-17.95940616224122,16.735666,17.250914,16.071472,1.1794415,0.51524734,0.6641941,4900.5,,K
85,1635721458409799680,85,4655038013888170752,75.69218814057183,-70.73868564500657,16.767576,17.608015,15.850858,1.7571573,0.84043884,0.9167185,3989.6667,,K
90,1635721458409799680,90,4070795536767583488,269.68963098938747,-21.11803090030372,15.959,17.6329,14.694974,2.9379263,1.6739006,1.2640257,4020.07,,K
104,1635721458409799680,104,3536744906416085888,164.11644613367903,-24.960193729166228,16.288582,16.7321,15.696603,1.0354967,0.44351768,0.591979,5136.99,0.7164651,K
108,1635721458409799680,108,5713814247660480640,122.59132652103726,-19.11713341663547,15.1266775,15.49697,14.594053,0.9029169,0.37029266,0.53262424,5403.33,2.8854733,G
111,1635721458409799680,111,2944240870716417152,94.4374488467726,-17.87208603446591,16.171373,16.518913,15.667735,0.85117817,0.3475399,0.50363827,5743.0,1.2189122,G
113,1635721458409799680,113,5900164116923369856,224.997383164421,-52.3992424341072,16.324566,17.0186,15.519079,1.4995213,0.6940346,0.8054867,4432.25,0.2646337,K
117,1635721458409799680,117,5926196768397973504,259.01433126779267,-50.89028883586419,16.847406,17.34834,16.217245,1.131094,0.5009327,0.6301613,4969.9434,,K
157,1635721458409799680,157,4056181652910219264,268.52403493898373,-30.294707279481916,13.744204,17.33235,12.164479,5.1678705,3.5881462,1.5797243,3297.0,,M
187,1635721458409799680,187,1977907554503137920,326.90440761196317,48.4106876749792,13.188316,13.525257,12.685012,0.84024525,0.33694077,0.5033045,5762.0,10.774697,G
195,1635721458409799680,195,5369178821929332608,177.9092101701905,-51.30772499151039,15.151612,15.549264,14.595622,0.9536419,0.39765167,0.5559902,5384.25,1.5717661,G
208,1635721458409799680,208,4184463701655750144,291.34818077696514,-15.067926426607428,16.905449,17.445831,16.209349,1.2364826,0.5403824,0.69610023,4883.0,0.3490525,K
210,1635721458409799680,210,4203560565062107136,284.1369635974669,-9.34372881818983,16.827894,17.699188,15.8958025,1.8033857,0.871294,0.9320917,3958.0,,K
220,1635721458409799680,220,4264048346167435264,288.7699659892003,0.23063813963308438,14.435018,15.317942,13.507698,1.8102436,0.8829241,0.9273195,3942.0,,K
227,1635721458409799680,227,5900156145463575808,224.80435985027088,-52.52405902097256,16.420626,17.40811,15.417425,1.9906845,0.987484,1.0032005,3732.25,,K
248,1635721458409799680,248,4521035583999652224,285.30089575762537,22.96754681743122,16.985966,17.602728,16.217525,1.3852024,0.61676216,0.76844025,4970.44,,K
259,1635721458409799680,259,937406612700514304,102.11525912344057,32.14680353843828,16.544767,17.271555,15.731794,1.5397606,0.72678757,0.812973,4335.61,0.13419908,K
277,1635721458409799680,277,4306742107766789376,286.14948498435905,7.1045846236601555,16.981209,17.900202,16.033537,1.8666649,0.918993,0.9476719,3902.5,0.13667686,K
283,1635721458409799680,283,2073781429396378880,298.19293225273174,40.624400601628395,16.923315,17.7308,16.013466,1.7173347,0.8074856,0.90984917,4173.6665,,K
295,1635721458409799680,295,2086489584783840640,298.39812223138034,48.15920410416322,15.164993,15.541271,14.628337,0.9129343,0.37627792,0.5366564,5428.0,1.6769828,G
302,1635721458409799680,302,2060594436691890432,304.7285255682162,37.22673266116128,16.62323,17.511883,15.5764475,1.9354353,0.8886528,1.0467825,3999.0,,K
